id,Domain,Sub-Section,Subtopic,Subbullet,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
1115,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Logging Concepts,Ingestion,"A SOC is deploying a new SIEM and needs to ensure logs from firewalls, servers, and cloud services are all collected into a central platform. Which logging concept does this primarily describe?",Retention,Ingestion,Time synchronization,Integrity,B,Ingestion refers to the collection and inbound transport of log data from various sources into a centralized logging or SIEM platform for analysis.
1116,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Logging Concepts,Configuration,"An analyst notices that a critical server is generating verbose debug-level logs, overwhelming the SIEM with noise while failing to capture authentication events. Which logging concept should be adjusted to resolve this?",Retention,Integrity and security,Configuration,Ingestion,C,"Log configuration determines what events are logged, at what severity/verbosity, and which sources are included; tuning it ensures relevant events (like authentication) are captured without excessive noise."
1117,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Logging Concepts,Integrity and security,"A threat actor gains access to a Linux server and attempts to delete bash history and modify syslog entries to cover their tracks. Which logging concept, if properly implemented, would have prevented this?",Time synchronization,Retention,Ingestion,Integrity and security,D,"Logging integrity and security controls, such as write-once storage, log forwarding to a separate system, and cryptographic hashing, protect logs from tampering or deletion by attackers."
1118,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Logging Concepts,Time synchronization,"During a multi-site incident investigation, analysts find that correlating events across three data centers is nearly impossible because each site's servers use a different local clock source. Which logging concept addresses this issue?",Time synchronization,Configuration,Retention,Ingestion,A,"Time synchronization (e.g., via NTP) ensures all systems share a consistent, accurate time source, which is essential for correlating events across multiple systems during investigations."
1119,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Logging Concepts,Retention,"A company's compliance policy requires that security logs be kept available for review for a minimum of 12 months, even though the SIEM's active storage only holds 90 days of data online. Which logging concept governs how the organization meets this requirement?",Ingestion,Integrity and security,Retention,Time synchronization,C,"Retention defines how long logs are stored and how they are archived, ensuring logs remain available to meet compliance, legal, or investigative requirements beyond the active storage window."
1120,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Operating System Concepts,System hardening,"A systems administrator disables unused services, removes default accounts, and applies the CIS Benchmark to a newly built Windows server before it goes into production. This activity is best described as:",Log retention,System hardening,Containerization,Virtualization,B,"System hardening is the process of reducing a system's attack surface by disabling unnecessary services, removing default credentials, and applying secure configuration baselines."
1121,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Operating System Concepts,System hardening,Which of the following is the BEST example of system hardening applied to a Linux server?,Enabling verbose logging for all user logins,Installing a third-party antivirus with default settings,Disabling root SSH login and enforcing key-based authentication,Increasing the server's log retention period to 180 days,C,Disabling direct root login and enforcing key-based SSH authentication reduces the attack surface and is a core system hardening practice; the other options relate to logging or monitoring rather than hardening.
1122,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Operating System Concepts,File structure - Critical files,An analyst investigating a Linux compromise wants to check for unauthorized changes to the file that stores local user account password hashes. Which file should the analyst examine?,/etc/passwd,/etc/hosts,/etc/shadow,/var/log/auth.log,C,/etc/shadow stores the hashed passwords for local Linux user accounts and is a critical file; unauthorized modification could indicate account tampering or a password-cracking attempt.
1123,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Operating System Concepts,File structure - Critical files,"On a Windows system, which critical file/registry structure is most commonly analyzed to identify persistence mechanisms configured to run at startup?",Hosts file,Run/RunOnce registry keys,DNS cache,Prefetch folder,B,"The Run and RunOnce registry keys control which programs automatically execute at system startup, making them a common location attackers use for persistence and a critical artifact for analysts to review."
1124,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Operating System Concepts,System processes,"A CySA+ analyst reviewing a host's process list notices a process named ""svch0st.exe"" running from a user's Temp directory. What does this most likely indicate?",Normal Windows service host process,A legitimate scheduled task,Process masquerading/malware attempting to mimic a legitimate system process,A kernel-level driver update,C,"Attackers often name malicious processes similarly to legitimate system processes (e.g., svchost.exe) to evade detection; running from a Temp directory and using a misspelled name are strong indicators of process masquerading."
1125,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Operating System Concepts,System processes,Which technique would BEST help an analyst determine whether a running process has an unusual parent-child relationship indicative of malicious activity?,Reviewing file retention policies,Examining the process tree/parent process ID (PPID),Checking NTP configuration,Reviewing IAM role assignments,B,"Examining the process tree and parent process IDs helps analysts identify anomalies, such as a Word document spawning PowerShell, which is a common indicator of malicious activity."
1126,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Infrastructure/System Architecture Concepts,Cloud native,"An organization builds an application using managed services, auto-scaling groups, and serverless functions specifically designed to run in a cloud environment rather than being lifted-and-shifted from on-premises. This approach is best described as:",Virtualization,Cloud native,Containerization,Hybrid cloud,B,"Cloud-native architecture refers to applications specifically designed and built to take advantage of cloud computing models, such as microservices, auto-scaling, and managed services."
1127,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Infrastructure/System Architecture Concepts,Cloud native,"From a security operations perspective, which of the following is a UNIQUE consideration when securing cloud-native applications compared to traditional on-premises applications?",Physical server rack security,Misconfigured cloud storage buckets and identity permissions across ephemeral resources,BIOS-level firmware attacks,Coaxial cabling vulnerabilities,B,"Cloud-native environments introduce unique risks such as misconfigured storage buckets, overly permissive IAM roles, and ephemeral/dynamically scaling resources that are harder to track with traditional security tools."
1128,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Infrastructure/System Architecture Concepts,Virtualization,A security analyst is concerned about an attacker breaking out of a guest virtual machine to access the underlying hypervisor and other VMs on the same host. This risk is most closely associated with which concept?,Containerization escape,VM/hypervisor escape,API abuse,Zero Trust bypass,B,"Virtualization introduces the risk of VM escape, where an attacker exploits a vulnerability to break out of an isolated virtual machine and gain access to the hypervisor or other VMs."
1129,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Infrastructure/System Architecture Concepts,Virtualization,Which security benefit does virtualization provide to a SOC when investigating a suspected compromised server?,It eliminates the need for logging,It allows analysts to easily snapshot and isolate the VM for forensic analysis without affecting production,It automatically patches the guest OS,It removes the need for network segmentation,B,"Virtualization allows analysts to take snapshots of a VM's state and isolate it in a sandboxed environment for forensic investigation, without disrupting other production systems."
1130,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Infrastructure/System Architecture Concepts,Containerization,"A DevOps team packages an application along with all its dependencies into a lightweight, portable unit that shares the host OS kernel rather than including a full guest OS. This describes:",Virtualization,Containerization,Cloud native,SASE,B,"Containerization packages an application and its dependencies into an isolated unit that shares the host operating system's kernel, differing from virtualization, which requires a full guest OS per instance."
1131,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Infrastructure/System Architecture Concepts,Containerization,Which of the following represents a significant security concern unique to containerized environments?,Hard drive fragmentation,Vulnerable or outdated base images being reused across many containers,Physical theft of server hardware,Analog signal interception,B,"Containers are often built from base images; if a base image contains vulnerabilities or malware, that risk propagates to every container built from it, making image scanning a key security practice."
1132,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Infrastructure/System Architecture Concepts,Application programming interfaces (APIs),"A security team discovers that an internal API endpoint does not properly validate the authorization token, allowing any authenticated user to access another user's data by changing an ID in the request. This is an example of:",Time synchronization failure,Broken object level authorization (BOLA) in an API,VM escape,Log ingestion failure,B,"Broken Object Level Authorization occurs when an API fails to verify that a user is authorized to access the specific object/resource requested, a common and critical API security flaw."
1133,1.0 Security Operations,1.1 Explain concepts related to system and network architecture in security operations.,Infrastructure/System Architecture Concepts,Application programming interfaces (APIs),Which practice BEST reduces risk when an organization exposes APIs to third-party integrations?,Disabling all logging to improve performance,"Enforcing strong authentication, rate limiting, and input validation on API endpoints",Allowing unauthenticated access for ease of integration,Using only symmetric encryption for all API traffic,B,"Securing APIs requires strong authentication/authorization, rate limiting to prevent abuse, and input validation to prevent injection attacks, especially when exposed to third parties."
